840,448,850,952,663
1680,896,1700,1904,1326
2520,1344,2550,2856,1989
360,224,390,424,349
720,448,780,848,698
1080,672,1170,1272,1047
1440,896,1560,1696,1396
1800,1120,1950,2120,1745
2160,1344,2340,2544,2094
2520,1568,2730,2968,2443
2880,1792,3120,3392,2792
168,99,170,195,140
336,198,340,390,280
504,297,510,585,420
672,396,680,780,560
840,495,850,975,700
1008,594,1020,1170,840
1176,693,1190,1365,980
1344,792,1360,1560,1120
1512,891,1530,1755,1260
1680,990,1700,1950,1400
1848,1089,1870,2145,1540
2016,1188,2040,2340,1680
2184,1287,2210,2535,1820
2352,1386,2380,2730,1960
2520,1485,2550,2925,2100
2688,1584,2720,3120,2240
2856,1683,2890,3315,2380
3024,1782,3060,3510,2520
240,364,246,436,409
480,728,492,872,818
720,1092,738,1308,1227
960,1456,984,1744,1636
1200,1820,1230,2180,2045
1440,2184,1476,2616,2454
1680,2548,1722,3052,2863
1920,2912,1968,3488,3272
168,374,210,410,445
336,748,420,820,890
504,1122,630,1230,1335
672,1496,840,1640,1780
840,1870,1050,2050,2225
1008,2244,1260,2460,2670
1176,2618,1470,2870,3115
1344,2992,1680,3280,3560
312,459,520,555,685
624,918,1040,1110,1370
936,1377,1560,1665,2055
1248,1836,2080,2220,2740
1560,2295,2600,2775,3425
120,119,130,169,156
240,238,260,338,312
360,357,390,507,468
480,476,520,676,624
600,595,650,845,780
720,714,780,1014,936
840,833,910,1183,1092
960,952,1040,1352,1248
1080,1071,1170,1521,1404
1200,1190,1300,1690,1560
1320,1309,1430,1859,1716
1440,1428,1560,2028,1872
1560,1547,1690,2197,2028
1680,1666,1820,2366,2184
1800,1785,1950,2535,2340
1920,1904,2080,2704,2496
2040,2023,2210,2873,2652
2160,2142,2340,3042,2808
2280,2261,2470,3211,2964
2400,2380,2600,3380,3120
160,231,232,281,325
320,462,464,562,650
480,693,696,843,975
640,924,928,1124,1300
800,1155,1160,1405,1625
960,1386,1392,1686,1950
1120,1617,1624,1967,2275
1280,1848,1856,2248,2600
1440,2079,2088,2529,2925
1600,2310,2320,2810,3250
1760,2541,2552,3091,3575
880,285,902,925,584
1760,570,1804,1850,1168
2640,855,2706,2775,1752
3520,1140,3608,3700,2336
1120,1035,1148,1525,1289
2240,2070,2296,3050,2578
462,1040,638,1138,1281
924,2080,1276,2276,2562
1386,3120,1914,3414,3843
240,161,272,289,255
480,322,544,578,510
720,483,816,867,765
960,644,1088,1156,1020
1200,805,1360,1445,1275
1440,966,1632,1734,1530
1680,1127,1904,2023,1785
1920,1288,2176,2312,2040
2160,1449,2448,2601,2295
2400,1610,2720,2890,2550
2640,1771,2992,3179,2805
1008,1100,1050,1492,1345
2016,2200,2100,2984,2690
1120,3036,1130,3236,3161
288,175,290,337,240
576,350,580,674,480
864,525,870,1011,720
1152,700,1160,1348,960
1440,875,1450,1685,1200
1728,1050,1740,2022,1440
2016,1225,2030,2359,1680
2304,1400,2320,2696,1920
2592,1575,2610,3033,2160
2880,1750,2900,3370,2400
336,527,350,625,600
672,1054,700,1250,1200
1008,1581,1050,1875,1800
1344,2108,1400,2500,2400
1680,2635,1750,3125,3000
2520,2233,2600,3367,2847
910,1056,1358,1394,1625
1820,2112,2716,2788,3250
504,1247,520,1345,1335
1008,2494,1040,2690,2670
720,1519,738,1681,1640
1440,3038,1476,3362,3280
840,1081,888,1369,1295
1680,2162,1776,2738,2590
1870,2736,2482,3314,3673
1008,3055,1358,3217,3546
1120,969,1184,1481,1289
2240,1938,2368,2962,2578
1320,3479,1342,3721,3660
727612
