t,repeatability,bigint_repeatability,contributionS,thisS
74,2905841483,2905841483 (e0),1225901875640625 (e0),24340119047928429 (e0)
75,2899736776,2899736776 (e0),1272914850981376 (e0),25613033898909805 (e0)
76,2893640625,2893640625 (e0),1321042435453125 (e0),26934076334362930 (e0)
77,2887553024,2887553024 (e0),1370294062645248 (e0),28304370397008178 (e0)
78,2881473967,2881473967 (e0),1420679043215713 (e0),29725049440223891 (e0)
79,2875403448,2875403448 (e0),1472206565376000 (e0),31197256005599891 (e0)
80,2869341461,2869341461 (e0),1524885695375301 (e0),32722141700975192 (e0)
81,2863288000,2863288000 (e0),1578725377984000 (e0),34300867078959192 (e0)
82,2857243059,2857243059 (e0),1633734436976433 (e0),35934601515935625 (e0)
83,2851206632,2851206632 (e0),1689921575612928 (e0),37624523091548553 (e0)
84,2845178713,2845178713 (e0),1747295377121125 (e0),39371818468669678 (e0)
85,2839159296,2839159296 (e0),1805864305176576 (e0),41177682773846254 (e0)
86,2833148375,2833148375 (e0),1865636704382625 (e0),43043319478228879 (e0)
87,2827145944,2827145944 (e0),1926620800749568 (e0),44969940278978447 (e0)
88,2821151997,2821151997 (e0),1988824702173093 (e0),46958764981151540 (e0)
89,2815166528,2815166528 (e0),2052256398912000 (e0),49011021380063540 (e0)
90,2809189531,2809189531 (e0),2116923764065201 (e0),51127945144128741 (e0)
91,2803221000,2803221000 (e0),2182834554048000 (e0),53310779698176741 (e0)
92,2797260929,2797260929 (e0),2249996409067653 (e0),55560776107244394 (e0)
93,2791309312,2791309312 (e0),2318416853598208 (e0),57879192960842602 (e0)
94,2785366143,2785366143 (e0),2388103296854625 (e0),60267296257697227 (e0)
95,2779431416,2779431416 (e0),2459063033266176 (e0),62726359290963403 (e0)
96,2773505125,2773505125 (e0),2531303242949125 (e0),65257662533912528 (e0)
97,2767587264,2767587264 (e0),2604830992178688 (e0),67862493526091216 (e0)
98,2761677827,2761677827 (e0),2679653233860273 (e0),70542146759951489 (e0)
99,2755776808,2755776808 (e0),2755776808000000 (e0),73297923567951489 (e0)
100,2749884201,2749884201 (e0),2833208442174501 (e0),76131132010125990 (e0)
101,2744000000,2744000000 (e0),2911954752000000 (e0),79043086762125990 (e0)
102,2738124199,2738124199 (e0),2992022241600673 (e0),82035109003726663 (e0)
103,2732256792,2732256792 (e0),3073417304076288 (e0),85108526307802951 (e0)
104,2726397773,2726397773 (e0),3156146221969125 (e0),88264672529772076 (e0)
105,2720547136,2720547136 (e0),3240215167730176 (e0),91504887697502252 (e0)
106,2714704875,2714704875 (e0),3325630204184625 (e0),94830517901686877 (e0)
107,2708870984,2708870984 (e0),3412397284996608 (e0),98242915186683485 (e0)
108,2703045457,2703045457 (e0),3500522255133253 (e0),101743437441816738 (e0)
109,2697228288,2697228288 (e0),3590010851328000 (e0),105333448293144738 (e0)
