t,repeatability,bigint_repeatability,contributionS,thisS
354,1509003523,1509003523 (e0),67511119990056625 (e0),7257918849252940801 (e0)
355,1505060136,1505060136 (e0),67905327297010176 (e0),7325824176549950977 (e0)
356,1501123625,1501123625 (e0),68300063643097125 (e0),7394124240193048102 (e0)
357,1497193984,1497193984 (e0),68695320376004608 (e0),7462819560569052710 (e0)
358,1493271207,1493271207 (e0),69091088828142753 (e0),7531910649397195463 (e0)
359,1489355288,1489355288 (e0),69487360316928000 (e0),7601398009714123463 (e0)
360,1485446221,1485446221 (e0),69884126145065701 (e0),7671282135859189164 (e0)
361,1481544000,1481544000 (e0),70281377600832000 (e0),7741563513460021164 (e0)
362,1477648619,1477648619 (e0),70679105958354993 (e0),7812242619418376157 (e0)
363,1473760072,1473760072 (e0),71077302477895168 (e0),7883319921896271325 (e0)
364,1469878353,1469878353 (e0),71475958406125125 (e0),7954795880302396450 (e0)
365,1466003456,1466003456 (e0),71875064976408576 (e0),8026670945278805026 (e0)
366,1462135375,1462135375 (e0),72274613409078625 (e0),8098945558687883651 (e0)
367,1458274104,1458274104 (e0),72674594911715328 (e0),8171620153599598979 (e0)
368,1454419637,1454419637 (e0),73075000679422533 (e0),8244695154279021512 (e0)
369,1450571968,1450571968 (e0),73475821895104000 (e0),8318170976174125512 (e0)
370,1446731091,1446731091 (e0),73877049729738801 (e0),8392048025903864313 (e0)
371,1442897000,1442897000 (e0),74278675342656000 (e0),8466326701246520313 (e0)
372,1439069689,1439069689 (e0),74680689881808613 (e0),8541007391128328926 (e0)
373,1435249152,1435249152 (e0),75083084484046848 (e0),8616090475612375774 (e0)
374,1431435383,1431435383 (e0),75485850275390625 (e0),8691576325887766399 (e0)
375,1427628376,1427628376 (e0),75888978371301376 (e0),8767465304259067775 (e0)
376,1423828125,1423828125 (e0),76292459876953125 (e0),8843757764136020900 (e0)
377,1420034624,1420034624 (e0),76696285887502848 (e0),8920454050023523748 (e0)
378,1416247867,1416247867 (e0),77100447488360113 (e0),8997554497511883861 (e0)
379,1412467848,1412467848 (e0),77504935755456000 (e0),9075059433267339861 (e0)
380,1408694561,1408694561 (e0),77909741755511301 (e0),9152969175022851162 (e0)
381,1404928000,1404928000 (e0),78314856546304000 (e0),9231284031569155162 (e0)
382,1401168159,1401168159 (e0),78720271176936033 (e0),9310004302746091195 (e0)
383,1397415032,1397415032 (e0),79125976688099328 (e0),9389130279434190523 (e0)
384,1393668613,1393668613 (e0),79531964112341125 (e0),9468662243546531648 (e0)
385,1389928896,1389928896 (e0),79938224474328576 (e0),9548600468020860224 (e0)
386,1386195875,1386195875 (e0),80344748791112625 (e0),9628945216811972849 (e0)
387,1382469544,1382469544 (e0),80751528072391168 (e0),9709696744884364017 (e0)
388,1378749897,1378749897 (e0),81158553320771493 (e0),9790855298205135510 (e0)
389,1375036928,1375036928 (e0),81565815532032000 (e0),9872421113737167510 (e0)
390,1371330631,1371330631 (e0),81973305695383201 (e0),9954394419432550711 (e0)
391,1367631000,1367631000 (e0),82381014793728000 (e0),10036775434226278711 (e0)
392,1363938029,1363938029 (e0),82788933803921253 (e0),10119564368030199964 (e0)
393,1360251712,1360251712 (e0),83197053697028608 (e0),10202761421727228572 (e0)
394,1356572043,1356572043 (e0),83605365438584625 (e0),10286366787165813197 (e0)
395,1352899016,1352899016 (e0),84013859988850176 (e0),10370380647154663373 (e0)
396,1349232625,1349232625 (e0),84422528303069125 (e0),10454803175457732498 (e0)
397,1345572864,1345572864 (e0),84831361331724288 (e0),10539634536789456786 (e0)
398,1341919727,1341919727 (e0),85240350020792673 (e0),10624874886810249459 (e0)
399,1338273208,1338273208 (e0),85649485312000000 (e0),10710524372122249459 (e0)
400,1334633301,1334633301 (e0),86058758143074501 (e0),10796583130265323960 (e0)
401,1331000000,1331000000 (e0),86468159448000000 (e0),10883051289713323960 (e0)
402,1327373299,1327373299 (e0),86877680157268273 (e0),10969928969870592233 (e0)
403,1323753192,1323753192 (e0),87287311198130688 (e0),11057216281068722921 (e0)
404,1320139673,1320139673 (e0),87697043494849125 (e0),11144913324563572046 (e0)
405,1316532736,1316532736 (e0),88106867968946176 (e0),11233020192532518222 (e0)
406,1312932375,1312932375 (e0),88516775539454625 (e0),11321536968071972847 (e0)
407,1309338584,1309338584 (e0),88926757123166208 (e0),11410463725195139055 (e0)
408,1305751357,1305751357 (e0),89336803634879653 (e0),11499800528830018708 (e0)
409,1302170688,1302170688 (e0),89746905987648000 (e0),11589547434817666708 (e0)
410,1298596571,1298596571 (e0),90157055093025201 (e0),11679704489910691909 (e0)
411,1295029000,1295029000 (e0),90567241861312000 (e0),11770271731772003909 (e0)
412,1291467969,1291467969 (e0),90977457201801093 (e0),11861249188973805002 (e0)
413,1287913472,1287913472 (e0),91387692023021568 (e0),11952636880996826570 (e0)
414,1284365503,1284365503 (e0),91797937232982625 (e0),12044434818229809195 (e0)
415,1280824056,1280824056 (e0),92208183739416576 (e0),12136643001969225771 (e0)
416,1277289125,1277289125 (e0),92618422450021125 (e0),12229261424419246896 (e0)
417,1273760704,1273760704 (e0),93028644272700928 (e0),12322290068691947824 (e0)
418,1270238787,1270238787 (e0),93438840115808433 (e0),12415728908807756257 (e0)
419,1266723368,1266723368 (e0),93849000888384000 (e0),12509577909696140257 (e0)
420,1263214441,1263214441 (e0),94259117500395301 (e0),12603837027196535558 (e0)
421,1259712000,1259712000 (e0),94669180862976000 (e0),12698506208059511558 (e0)
422,1256216039,1256216039 (e0),95079181888663713 (e0),12793585389948175271 (e0)
423,1252726552,1252726552 (e0),95489111491637248 (e0),12889074501439812519 (e0)
424,1249243533,1249243533 (e0),95898960587953125 (e0),12984973462027765644 (e0)
425,1245766976,1245766976 (e0),96308720095781376 (e0),13081282182123547020 (e0)
426,1242296875,1242296875 (e0),96718380935640625 (e0),13178000563059187645 (e0)
427,1238833224,1238833224 (e0),97127934030632448 (e0),13275128497089820093 (e0)
428,1235376017,1235376017 (e0),97537370306675013 (e0),13372665867396495106 (e0)
429,1231925248,1231925248 (e0),97946680692736000 (e0),13470612548089231106 (e0)
430,1228480911,1228480911 (e0),98355856121064801 (e0),13568968404210295907 (e0)
431,1225043000,1225043000 (e0),98764887527424000 (e0),13667733291737719907 (e0)
432,1221611509,1221611509 (e0),99173765851320133 (e0),13766907057589040040 (e0)
433,1218186432,1218186432 (e0),99582482036233728 (e0),13866489539625273768 (e0)
434,1214767763,1214767763 (e0),99991027029848625 (e0),13966480566655122393 (e0)
435,1211355496,1211355496 (e0),100399391784280576 (e0),14066879958439402969 (e0)
436,1207949625,1207949625 (e0),100807567256305125 (e0),14167687525695708094 (e0)
437,1204550144,1204550144 (e0),101215544407584768 (e0),14268903070103292862 (e0)
438,1201157047,1201157047 (e0),101623314204895393 (e0),14370526384308188255 (e0)
439,1197770328,1197770328 (e0),102030867620352000 (e0),14472557251928540255 (e0)
440,1194389981,1194389981 (e0),102438195631633701 (e0),14574995447560173956 (e0)
441,1191016000,1191016000 (e0),102845289222208000 (e0),14677840736782381956 (e0)
442,1187648379,1187648379 (e0),103252139381554353 (e0),14781092876163936309 (e0)
443,1184287112,1184287112 (e0),103658737105387008 (e0),14884751613269323317 (e0)
444,1180932193,1180932193 (e0),104065073395877125 (e0),14988816686665200442 (e0)
445,1177583616,1177583616 (e0),104471139261874176 (e0),15093287825927074618 (e0)
446,1174241375,1174241375 (e0),104876925719126625 (e0),15198164751646201243 (e0)
447,1170905464,1170905464 (e0),105282423790501888 (e0),15303447175436703131 (e0)
448,1167575877,1167575877 (e0),105687624506205573 (e0),15409134799942908704 (e0)
449,1164252608,1164252608 (e0),106092518904000000 (e0),15515227318846908704 (e0)
450,1160935651,1160935651 (e0),106497098029422001 (e0),15621724416876330705 (e0)
451,1157625000,1157625000 (e0),106901352936000000 (e0),15728625769812330705 (e0)
452,1154320649,1154320649 (e0),107305274685470373 (e0),15835931044497801078 (e0)
453,1151022592,1151022592 (e0),107708854347993088 (e0),15943639898845794166 (e0)
454,1147730823,1147730823 (e0),108112083002366625 (e0),16051751981848160791 (e0)
455,1144445336,1144445336 (e0),108514951736242176 (e0),16160266933584402967 (e0)
456,1141166125,1141166125 (e0),108917451646337125 (e0),16269184385230740092 (e0)
457,1137893184,1137893184 (e0),109319573838647808 (e0),16378503959069387900 (e0)
458,1134626507,1134626507 (e0),109721309428661553 (e0),16488225268498049453 (e0)
459,1131366088,1131366088 (e0),110122649541568000 (e0),16598347918039617453 (e0)
460,1128111921,1128111921 (e0),110523585312469701 (e0),16708871503352087154 (e0)
461,1124864000,1124864000 (e0),110924107886592000 (e0),16819795611238679154 (e0)
462,1121622319,1121622319 (e0),111324208419492193 (e0),16931119819658171347 (e0)
463,1118386872,1118386872 (e0),111723878077267968 (e0),17042843697735439315 (e0)
464,1115157653,1115157653 (e0),112123108036765125 (e0),17154966805772204440 (e0)
465,1111934656,1111934656 (e0),112521889485784576 (e0),17267488695257989016 (e0)
466,1108717875,1108717875 (e0),112920213623288625 (e0),17380408908881277641 (e0)
467,1105507304,1105507304 (e0),113318071659606528 (e0),17493726980540884169 (e0)
468,1102302937,1102302937 (e0),113715454816639333 (e0),17607442435357523502 (e0)
469,1099104768,1099104768 (e0),114112354328064000 (e0),17721554789685587502 (e0)
470,1095912791,1095912791 (e0),114508761439536801 (e0),17836063551125124303 (e0)
471,1092727000,1092727000 (e0),114904667408896000 (e0),17950968218534020303 (e0)
472,1089547389,1089547389 (e0),115300063506363813 (e0),18066268282040384116 (e0)
473,1086373952,1086373952 (e0),115694941014747648 (e0),18181963223055131764 (e0)
474,1083206683,1083206683 (e0),116089291229640625 (e0),18298052514284772389 (e0)
475,1080045576,1080045576 (e0),116483105459621376 (e0),18414535619744393765 (e0)
476,1076890625,1076890625 (e0),116876375026453125 (e0),18531411994770846890 (e0)
477,1073741824,1073741824 (e0),117269091265282048 (e0),18648681086036128938 (e0)
478,1070599167,1070599167 (e0),117661245524834913 (e0),18766342331560963851 (e0)
479,1067462648,1067462648 (e0),118052829167616000 (e0),18884395160728579851 (e0)
480,1064332261,1064332261 (e0),118443833570103301 (e0),19002838994298683152 (e0)
481,1061208000,1061208000 (e0),118834250122944000 (e0),19121673244421627152 (e0)
482,1058089859,1058089859 (e0),119224070231149233 (e0),19240897314652776385 (e0)
483,1054977832,1054977832 (e0),119613285314288128 (e0),19360510599967064513 (e0)
484,1051871913,1051871913 (e0),120001886806681125 (e0),19480512486773745638 (e0)
485,1048772096,1048772096 (e0),120389866157592576 (e0),19600902352931338214 (e0)
486,1045678375,1045678375 (e0),120777214831422625 (e0),19721679567762760839 (e0)
487,1042590744,1042590744 (e0),121163924307898368 (e0),19842843492070659207 (e0)
488,1039509197,1039509197 (e0),121549986082264293 (e0),19964393478152923500 (e0)
489,1036433728,1036433728 (e0),121935391665472000 (e0),20086328869818395500 (e0)
490,1033364331,1033364331 (e0),122320132584369201 (e0),20208649002402764701 (e0)
491,1030301000,1030301000 (e0),122704200381888000 (e0),20331353202784652701 (e0)
492,1027243729,1027243729 (e0),123087586617232453 (e0),20454440789401885154 (e0)
493,1024192512,1024192512 (e0),123470282866065408 (e0),20577911072267950562 (e0)
494,1021147343,1021147343 (e0),123852280720694625 (e0),20701763352988645187 (e0)
495,1018108216,1018108216 (e0),124233571790258176 (e0),20825996924778903363 (e0)
496,1015075125,1015075125 (e0),124614147700909125 (e0),20950611072479812488 (e0)
497,1012048064,1012048064 (e0),124994000095999488 (e0),21075605072575811976 (e0)
498,1009027027,1009027027 (e0),125373120636263473 (e0),21200978193212075449 (e0)
499,1006012008,1006012008 (e0),125751501000000000 (e0),21326729694212075449 (e0)
500,1003003001,1003003001 (e0),126129132883254501 (e0),21452858827095329950 (e0)
501,1000000000,1000000000 (e0),126506008000000000 (e0),21579364835095329950 (e0)
502,997002999,997002999 (e0),126882118082317473 (e0),21706246953177647423 (e0)
503,994011992,994011992 (e0),127257454880575488 (e0),21833504408058222911 (e0)
504,991026973,991026973 (e0),127632010163609125 (e0),21961136418221832036 (e0)
505,988047936,988047936 (e0),128005775718898176 (e0),22089142193940730212 (e0)
506,985074875,985074875 (e0),128378743352744625 (e0),22217520937293474837 (e0)
507,982107784,982107784 (e0),128750904890449408 (e0),22346271842183924245 (e0)
508,979146657,979146657 (e0),129122252176488453 (e0),22475394094360412698 (e0)
509,976191488,976191488 (e0),129492777074688000 (e0),22604886871435100698 (e0)
510,973242271,973242271 (e0),129862471468399201 (e0),22734749342903499899 (e0)
511,970299000,970299000 (e0),130231327260672000 (e0),22864980670164171899 (e0)
512,967361669,967361669 (e0),130599336374428293 (e0),22995580006538600192 (e0)
513,964430272,964430272 (e0),130966490752634368 (e0),23126546497291234560 (e0)
514,961504803,961504803 (e0),131332782358472625 (e0),23257879279649707185 (e0)
515,958585256,958585256 (e0),131698203175512576 (e0),23389577482825219761 (e0)
516,955671625,955671625 (e0),132062745207881125 (e0),23521640228033100886 (e0)
517,952763904,952763904 (e0),132426400480432128 (e0),23654066628513533014 (e0)
518,949862087,949862087 (e0),132789161038915233 (e0),23786855789552448247 (e0)
519,946966168,946966168 (e0),133151018950144000 (e0),23920006808502592247 (e0)
520,944076141,944076141 (e0),133511966302163301 (e0),24053518774804755548 (e0)
521,941192000,941192000 (e0),133871995204416000 (e0),24187390770009171548 (e0)
522,938313739,938313739 (e0),134231097787908913 (e0),24321621867797080461 (e0)
523,935441352,935441352 (e0),134589266205378048 (e0),24456211134002458509 (e0)
524,932574833,932574833 (e0),134946492631453125 (e0),24591157626633911634 (e0)
525,929714176,929714176 (e0),135302769262821376 (e0),24726460395896733010 (e0)
526,926859375,926859375 (e0),135658088318390625 (e0),24862118484215123635 (e0)
527,924010424,924010424 (e0),136012442039451648 (e0),24998130926254575283 (e0)
528,921167317,921167317 (e0),136365822689839813 (e0),25134496748944415096 (e0)
529,918330048,918330048 (e0),136718222556096000 (e0),25271214971500511096 (e0)
530,915498611,915498611 (e0),137069633947626801 (e0),25408284605448137897 (e0)
531,912673000,912673000 (e0),137420049196864000 (e0),25545704654645001897 (e0)
532,909853209,909853209 (e0),137769460659423333 (e0),25683474115304425230 (e0)
533,907039232,907039232 (e0),138117860714262528 (e0),25821591976018687758 (e0)
534,904231063,904231063 (e0),138465241763838625 (e0),25960057217782526383 (e0)
535,901428696,901428696 (e0),138811596234264576 (e0),26098868814016790959 (e0)
536,898632125,898632125 (e0),139156916575465125 (e0),26238025730592256084 (e0)
537,895841344,895841344 (e0),139501195261331968 (e0),26377526925853588052 (e0)
538,893056347,893056347 (e0),139844424789878193 (e0),26517371350643466245 (e0)
539,890277128,890277128 (e0),140186597683392000 (e0),26657557948326858245 (e0)
540,887503681,887503681 (e0),140527706488589701 (e0),26798085654815447946 (e0)
541,884736000,884736000 (e0),140867743776768000 (e0),26938953398592215946 (e0)
542,881974079,881974079 (e0),141206702143955553 (e0),27080160100736171499 (e0)
543,879217912,879217912 (e0),141544574211063808 (e0),27221704674947235307 (e0)
544,876467493,876467493 (e0),141881352624037125 (e0),27363586027571272432 (e0)
545,873722816,873722816 (e0),142217030054002176 (e0),27505803057625274608 (e0)
546,870983875,870983875 (e0),142551599197416625 (e0),27648354656822691233 (e0)
547,868250664,868250664 (e0),142885052776217088 (e0),27791239709598908321 (e0)
548,865523177,865523177 (e0),143217383537966373 (e0),27934457093136874694 (e0)
549,862801408,862801408 (e0),143548584256000000 (e0),28078005677392874694 (e0)
550,860085351,860085351 (e0),143878647729572001 (e0),28221884325122446695 (e0)
551,857375000,857375000 (e0),144207566784000000 (e0),28366091891906446695 (e0)
552,854670349,854670349 (e0),144535334270809573 (e0),28510627226177256268 (e0)
553,851971392,851971392 (e0),144861943067877888 (e0),28655489169245134156 (e0)
554,849278123,849278123 (e0),145187386079576625 (e0),28800676555324710781 (e0)
555,846590536,846590536 (e0),145511656236914176 (e0),28946188211561624957 (e0)
556,843908625,843908625 (e0),145834746497677125 (e0),29092022958059302082 (e0)
557,841232384,841232384 (e0),146156649846571008 (e0),29238179607905873090 (e0)
558,838561807,838561807 (e0),146477359295360353 (e0),29384656967201233443 (e0)
559,835896888,835896888 (e0),146796867883008000 (e0),29531453835084241443 (e0)
560,833237621,833237621 (e0),147115168675813701 (e0),29678569003760055144 (e0)
561,830584000,830584000 (e0),147432254767552000 (e0),29826001258527607144 (e0)
562,827936019,827936019 (e0),147748119279609393 (e0),29973749377807216537 (e0)
563,825293672,825293672 (e0),148062755361120768 (e0),30121812133168337305 (e0)
564,822656953,822656953 (e0),148376156189105125 (e0),30270188289357442430 (e0)
565,820025856,820025856 (e0),148688314968600576 (e0),30418876604326043006 (e0)
566,817400375,817400375 (e0),148999224932798625 (e0),30567875829258841631 (e0)
567,814780504,814780504 (e0),149308879343177728 (e0),30717184708602019359 (e0)
568,812166237,812166237 (e0),149617271489636133 (e0),30866801980091655492 (e0)
569,809557568,809557568 (e0),149924394690624000 (e0),31016726374782279492 (e0)
570,806954491,806954491 (e0),150230242293274801 (e0),31166956617075554293 (e0)
571,804357000,804357000 (e0),150534807673536000 (e0),31317491424749090293 (e0)
572,801765089,801765089 (e0),150838084236299013 (e0),31468329508985389306 (e0)
573,799178752,799178752 (e0),151140065415528448 (e0),31619469574400917754 (e0)
574,796597983,796597983 (e0),151440744674390625 (e0),31770910319075308379 (e0)
575,794022776,794022776 (e0),151740115505381376 (e0),31922650434580689755 (e0)
576,791453125,791453125 (e0),152038171430453125 (e0),32074688606011142880 (e0)
577,788889024,788889024 (e0),152334906001141248 (e0),32227023512012284128 (e0)
578,786330467,786330467 (e0),152630312798689713 (e0),32379653824810973841 (e0)
579,783777448,783777448 (e0),152924385434176000 (e0),32532578210245149841 (e0)
580,781229961,781229961 (e0),153217117548635301 (e0),32685795327793785142 (e0)
581,778688000,778688000 (e0),153508502813184000 (e0),32839303830606969142 (e0)
582,776151559,776151559 (e0),153798534929142433 (e0),32993102365536111575 (e0)
583,773620632,773620632 (e0),154087207628156928 (e0),33147189573164268503 (e0)
584,771095213,771095213 (e0),154374514672321125 (e0),33301564087836589628 (e0)
585,768575296,768575296 (e0),154660449854296576 (e0),33456224537690886204 (e0)
586,766060875,766060875 (e0),154945006997432625 (e0),33611169544688318829 (e0)
587,763551944,763551944 (e0),155228179955885568 (e0),33766397724644204397 (e0)
588,761048497,761048497 (e0),155509962614737093 (e0),33921907687258941490 (e0)
589,758550528,758550528 (e0),155790348890112000 (e0),34077698036149053490 (e0)
590,756058031,756058031 (e0),156069332729295201 (e0),34233767368878348691 (e0)
591,753571000,753571000 (e0),156346908110848000 (e0),34390114276989196691 (e0)
592,751089429,751089429 (e0),156623069044723653 (e0),34546737346033920344 (e0)
593,748613312,748613312 (e0),156897809572382208 (e0),34703635155606302552 (e0)
594,746142643,746142643 (e0),157171123766904625 (e0),34860806279373207177 (e0)
595,743677416,743677416 (e0),157443005733106176 (e0),35018249285106313353 (e0)
596,741217625,741217625 (e0),157713449607649125 (e0),35175962734713962478 (e0)
597,738763264,738763264 (e0),157982449559154688 (e0),35333945184273117166 (e0)
598,736314327,736314327 (e0),158249999788314273 (e0),35492195184061431439 (e0)
599,733870808,733870808 (e0),158516094528000000 (e0),35650711278589431439 (e0)
600,731432701,731432701 (e0),158780728043374501 (e0),35809492006632805940 (e0)
601,729000000,729000000 (e0),159043894632000000 (e0),35968535901264805940 (e0)
602,726572699,726572699 (e0),159305588623946673 (e0),36127841489888752613 (e0)
603,724150792,724150792 (e0),159565804381900288 (e0),36287407294270652901 (e0)
604,721734273,721734273 (e0),159824536301269125 (e0),36447231830571922026 (e0)
605,719323136,719323136 (e0),160081778810290176 (e0),36607313609382212202 (e0)
606,716917375,716917375 (e0),160337526370134625 (e0),36767651135752346827 (e0)
607,714516984,714516984 (e0),160591773475012608 (e0),36928242909227359435 (e0)
608,712121957,712121957 (e0),160844514652277253 (e0),37089087423879636688 (e0)
609,709732288,709732288 (e0),161095744462528000 (e0),37250183168342164688 (e0)
610,707347971,707347971 (e0),161345457499713201 (e0),37411528625841877889 (e0)
611,704969000,704969000 (e0),161593648391232000 (e0),37573122274233109889 (e0)
612,702595369,702595369 (e0),161840311798035493 (e0),37734962586031145382 (e0)
613,700227072,700227072 (e0),162085442414727168 (e0),37897048028445872550 (e0)
614,697864103,697864103 (e0),162329034969662625 (e0),38059377063415535175 (e0)
615,695506456,695506456 (e0),162571084225048576 (e0),38221948147640583751 (e0)
616,693154125,693154125 (e0),162811584977041125 (e0),38384759732617624876 (e0)
617,690807104,690807104 (e0),163050532055843328 (e0),38547810264673468204 (e0)
618,688465387,688465387 (e0),163287920325802033 (e0),38711098184999270237 (e0)
619,686128968,686128968 (e0),163523744685504000 (e0),38874621929684774237 (e0)
620,683797841,683797841 (e0),163758000067871301 (e0),39038379929752645538 (e0)
621,681472000,681472000 (e0),163990681440256000 (e0),39202370611192901538 (e0)
622,679151439,679151439 (e0),164221783804534113 (e0),39366592394997435651 (e0)
623,676836152,676836152 (e0),164451302197198848 (e0),39531043697194634499 (e0)
624,674526133,674526133 (e0),164679231689453125 (e0),39695722928884087624 (e0)
625,672221376,672221376 (e0),164905567387301376 (e0),39860628496271389000 (e0)
626,669921875,669921875 (e0),165130304431640625 (e0),40025758800703029625 (e0)
627,667627624,667627624 (e0),165353437998350848 (e0),40191112238701380473 (e0)
628,665338617,665338617 (e0),165574963298384613 (e0),40356687201999765086 (e0)
629,663054848,663054848 (e0),165794875577856000 (e0),40522482077577621086 (e0)
630,660776311,660776311 (e0),166013170118128801 (e0),40688495247695749887 (e0)
631,658503000,658503000 (e0),166229842235904000 (e0),40854725089931653887 (e0)
632,656234909,656234909 (e0),166444887283306533 (e0),41021169977214960420 (e0)
633,653972032,653972032 (e0),166658300647971328 (e0),41187828277862931748 (e0)
634,651714363,651714363 (e0),166870077753128625 (e0),41354698355616060373 (e0)
635,649461896,649461896 (e0),167080214057688576 (e0),41521778569673748949 (e0)
636,647214625,647214625 (e0),167288705056325125 (e0),41689067274730074074 (e0)
637,644972544,644972544 (e0),167495546279559168 (e0),41856562821009633242 (e0)
638,642735647,642735647 (e0),167700733293840993 (e0),42024263554303474235 (e0)
639,640503928,640503928 (e0),167904261701632000 (e0),42192167816005106235 (e0)
640,638277381,638277381 (e0),168106127141485701 (e0),42360273943146591936 (e0)
641,636056000,636056000 (e0),168306325288128000 (e0),42528580268434719936 (e0)
642,633839779,633839779 (e0),168504851852536753 (e0),42697085120287256689 (e0)
643,631628712,631628712 (e0),168701702582020608 (e0),42865786822869277297 (e0)
644,629422793,629422793 (e0),168896873260297125 (e0),43034683696129574422 (e0)
645,627222016,627222016 (e0),169090359707570176 (e0),43203774055837144598 (e0)
646,625026375,625026375 (e0),169282157780606625 (e0),43373056213617751223 (e0)
647,622835864,622835864 (e0),169472263372812288 (e0),43542528476990563511 (e0)
648,620650477,620650477 (e0),169660672414307173 (e0),43712189149404870684 (e0)
649,618470208,618470208 (e0),169847380872000000 (e0),43882036530276870684 (e0)
650,616295051,616295051 (e0),170032384749662001 (e0),44052068915026532685 (e0)
651,614125000,614125000 (e0),170215680088000000 (e0),44222284595114532685 (e0)
652,611960049,611960049 (e0),170397262964728773 (e0),44392681858079261458 (e0)
653,609800192,609800192 (e0),170577129494642688 (e0),44563258987573904146 (e0)
654,607645423,607645423 (e0),170755275829686625 (e0),44734014263403590771 (e0)
655,605495736,605495736 (e0),170931698159026176 (e0),44904945961562616947 (e0)
656,603351125,603351125 (e0),171106392709117125 (e0),45076052354271734072 (e0)
657,601211584,601211584 (e0),171279355743774208 (e0),45247331710015508280 (e0)
658,599077107,599077107 (e0),171450583564239153 (e0),45418782293579747433 (e0)
659,596947688,596947688 (e0),171620072509248000 (e0),45590402366088995433 (e0)
660,594823321,594823321 (e0),171787818955097701 (e0),45762190185044093134 (e0)
661,592704000,592704000 (e0),171953819315712000 (e0),45934144004359805134 (e0)
662,590589719,590589719 (e0),172118070042706593 (e0),46106262074402511727 (e0)
663,588480472,588480472 (e0),172280567625453568 (e0),46278542642027965295 (e0)
664,586376253,586376253 (e0),172441308591145125 (e0),46450983950619110420 (e0)
665,584277056,584277056 (e0),172600289504856576 (e0),46623584240123966996 (e0)
666,582182875,582182875 (e0),172757506969608625 (e0),46796341747093575621 (e0)
667,580093704,580093704 (e0),172912957626428928 (e0),46969254704720004549 (e0)
668,578009537,578009537 (e0),173066638154412933 (e0),47142321342874417482 (e0)
669,575930368,575930368 (e0),173218545270784000 (e0),47315539888145201482 (e0)
670,573856191,573856191 (e0),173368675730952801 (e0),47488908563876154283 (e0)
671,571787000,571787000 (e0),173517026328576000 (e0),47662425590204730283 (e0)
672,569722789,569722789 (e0),173663593895614213 (e0),47836089184100344496 (e0)
673,567663552,567663552 (e0),173808375302389248 (e0),48009897559402733744 (e0)
674,565609283,565609283 (e0),173951367457640625 (e0),48183848926860374369 (e0)
675,563559976,563559976 (e0),174092567308581376 (e0),48357941494168955745 (e0)
676,561515625,561515625 (e0),174231971840953125 (e0),48532173466009908870 (e0)
677,559476224,559476224 (e0),174369578079080448 (e0),48706543044088989318 (e0)
678,557441767,557441767 (e0),174505383085924513 (e0),48881048427174913831 (e0)
679,555412248,555412248 (e0),174639383963136000 (e0),49055687811138049831 (e0)
680,553387661,553387661 (e0),174771577851107301 (e0),49230459388989157132 (e0)
681,551368000,551368000 (e0),174901961929024000 (e0),49405361350918181132 (e0)
682,549353259,549353259 (e0),175030533414915633 (e0),49580391884333096765 (e0)
683,547343432,547343432 (e0),175157289565705728 (e0),49755549173898802493 (e0)
684,545338513,545338513 (e0),175282227677261125 (e0),49930831401576063618 (e0)
685,543338496,543338496 (e0),175405345084440576 (e0),50106236746660504194 (e0)
686,541343375,541343375 (e0),175526639161142625 (e0),50281763385821646819 (e0)
687,539353144,539353144 (e0),175646107320352768 (e0),50457409493141999587 (e0)
688,537367797,537367797 (e0),175763747014189893 (e0),50633173240156189480 (e0)
689,535387328,535387328 (e0),175879555733952000 (e0),50809052795890141480 (e0)
690,533411731,533411731 (e0),175993531010161201 (e0),50985046326900302681 (e0)
691,531441000,531441000 (e0),176105670412608000 (e0),51161151997312910681 (e0)
692,529475129,529475129 (e0),176215971550394853 (e0),51337367968863305534 (e0)
693,527514112,527514112 (e0),176324432071979008 (e0),51513692400935284542 (e0)
694,525557943,525557943 (e0),176431049665214625 (e0),51690123450600499167 (e0)
695,523606616,523606616 (e0),176535822057394176 (e0),51866659272657893343 (e0)
696,521660125,521660125 (e0),176638747015289125 (e0),52043298019673182468 (e0)
697,519718464,519718464 (e0),176739822345189888 (e0),52220037842018372356 (e0)
698,517781627,517781627 (e0),176839045892945073 (e0),52396876887911317429 (e0)
699,515849608,515849608 (e0),176936415544000000 (e0),52573813303455317429 (e0)
700,513922401,513922401 (e0),177031929223434501 (e0),52750845232678751930 (e0)
701,512000000,512000000 (e0),177125584896000000 (e0),52927970817574751930 (e0)
702,510082399,510082399 (e0),177217380566155873 (e0),53105188198140907803 (e0)
703,508169592,508169592 (e0),177307314278105088 (e0),53282495512419012891 (e0)
704,506261573,506261573 (e0),177395384115829125 (e0),53459890896534842016 (e0)
705,504358336,504358336 (e0),177481588203122176 (e0),53637372484737964192 (e0)
706,502459875,502459875 (e0),177565924703624625 (e0),53814938409441588817 (e0)
707,500566184,500566184 (e0),177648391820855808 (e0),53992586801262444625 (e0)
708,498677257,498677257 (e0),177728987798246053 (e0),54170315789060690678 (e0)
709,496793088,496793088 (e0),177807710919168000 (e0),54348123499979858678 (e0)
710,494913671,494913671 (e0),177884559506967201 (e0),54526008059486825879 (e0)
711,493039000,493039000 (e0),177959531924992000 (e0),54703967591411817879 (e0)
712,491169069,491169069 (e0),178032626576622693 (e0),54882000217988440572 (e0)
